,erro_loc,lat,lat_pred,lon,lon_pred,pontoId
1323,53.58007042082325,-8.072610000000001,-8.072160686440679,-34.894653000000005,-34.894477559322034,887
1324,199.04682546428265,-8.069894,-8.071542822033898,-34.896285999999996,-34.895583389830506,1480
1325,54.996876343131994,-8.065353,-8.065364177966101,-34.893871000000004,-34.89337172881356,2516
1326,70.6539648884759,-8.076614999999999,-8.077103601694915,-34.896361999999996,-34.895952,163
1327,22.213273422407823,-8.076336999999999,-8.076485737288134,-34.895718,-34.895583389830506,235
1328,141.81501618195884,-8.076448,-8.077412533898304,-34.895846999999996,-34.896689220338985,189
1329,74.63627927348485,-8.062387,-8.062892720338983,-34.901558,-34.901112542372886,2846
1330,12.8283291660113,-8.076888,-8.076794669491527,-34.897358000000004,-34.89742644067797,129
1331,15.895866268422917,-8.06627,-8.06629097457627,-34.896832,-34.896689220338985,2323
1332,152.95808205465025,-8.068453,-8.069071364406778,-34.896824,-34.895583389830506,2030
1333,19.52896885334956,-8.072196,-8.072160686440679,-34.892071,-34.891897288135596,1021
1334,71.89203549112794,-8.076467,-8.077103601694915,-34.896065,-34.895952,184
1335,68.71840569238186,-8.071735,-8.071542822033898,-34.897202,-34.89779505084746,1086
1336,220.93697481930377,-8.070727999999999,-8.072160686440679,-34.896774,-34.89816366101695,1246
1337,27.209993267454372,-8.071333000000001,-8.07123388983051,-34.89204,-34.892265898305084,1133
1338,186.3846451713137,-8.069174,-8.06752670338983,-34.888153,-34.88784257627118,1756
1339,78.32123621319495,-8.075915,-8.075250008474576,-34.899871999999995,-34.89963810169492,316
1340,169.01329516547736,-8.071461,-8.07123388983051,-34.900787,-34.89926949152543,1117
1341,35.17408829366579,-8.071128999999999,-8.07123388983051,-34.89183,-34.89152867796611,1162
1342,89.26754675106436,-8.070758,-8.07123388983051,-34.892719,-34.89337172881356,1234
1343,49.72601118916891,-8.076112,-8.076176805084746,-34.894768,-34.89521477966102,280
1344,14.514881695768398,-8.068669,-8.068762432203389,-34.889225,-34.88931701694915,1932
1345,52.62073810047634,-8.069678999999999,-8.06938029661017,-34.900742,-34.901112542372886,1555
1346,152.4352929530633,-8.069701,-8.068762432203389,-34.894749,-34.89374033898305,1546
1347,154.4760498760154,-8.073298,-8.073396415254237,-34.896614,-34.89521477966102,720
1348,109.72096499702737,-8.060699000000001,-8.060112330508474,-34.905231,-34.90443003389831,2924
1349,73.72626894033621,-8.069685,-8.069998161016947,-34.894698999999996,-34.89410894915254,1552
1350,100.47108925913477,-8.068697,-8.06814456779661,-34.896336,-34.89705783050847,1923
1351,78.52076813217651,-8.061419,-8.060730194915253,-34.903168,-34.90332420338983,2896
1352,128.74738235944807,-8.061551,-8.060421262711863,-34.902473,-34.90221837288136,2889
1353,158.85898607728464,-8.066859,-8.06721777118644,-34.894768,-34.89337172881356,2242
1354,39.288663006285844,-8.072784,-8.073087483050848,-34.894295,-34.894477559322034,846
1355,4.505362871800902,-8.066631,-8.066599906779661,-34.895241,-34.89521477966102,2279
1356,27.12216313050624,-8.070749000000001,-8.070924957627117,-34.892464000000004,-34.89263450847457,1236
1357,86.53763023027959,-8.071078,-8.071851754237287,-34.891815,-34.891897288135596,1174
1358,103.79602813489969,-8.063355,-8.064128449152541,-34.886578,-34.887105355932206,2766
1359,42.48792129747764,-8.068479,-8.06814456779661,-34.897240000000004,-34.89742644067797,2021
1360,2.9249248131273355,-8.074347,-8.074323211864407,-34.900364,-34.900375322033895,568
1361,294.98081621915617,-8.072803,-8.074941076271188,-34.896431,-34.89484616949153,838
1362,226.65116481209657,-8.062397,-8.061348059322032,-34.887764000000004,-34.88599952542373,2842
1363,96.08588785719454,-8.072392,-8.071542822033898,-34.893532,-34.89337172881356,986
1364,63.66995456171415,-8.066436,-8.066599906779661,-34.893555,-34.89410894915254,2304
